LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
 - 	466	37.741417	-1.161458	0.003089
 - 	467	37.902660	0.340110	-0.556104
 - 	468	37.828197	1.664865	-0.842811
 - 	469	37.564178	2.747511	-0.761685
 - 	470	37.162163	3.551472	-0.246194
 - 	471	36.673882	4.075627	0.720866
 - 	472	36.145229	4.350320	2.088845
 - 	473	35.609966	4.427178	3.719462
 - 	474	35.083080	4.368708	5.376132
 - 	475	34.556873	4.240985	6.754059
 - 	476	34.005238	4.108882	7.576376
 - 	477	33.399414	4.031360	7.727112
 - 	478	32.730408	4.054882	7.329413
 - 	479	32.023159	4.203976	6.685888
 - 	480	31.326778	4.468673	6.097579
 - 	481	30.678364	4.793063	5.685427
 - 	482	30.057545	5.076775	5.347329
 - 	483	29.361753	5.200325	4.880354
 - 	484	28.427933	5.067680	4.170442
 - 	485	27.098516	4.639834	3.301665
 - 	486	25.292866	3.936940	2.502537
 - 	487	23.035669	3.014036	1.983936
 - 	488	20.426762	1.935483	1.814745
 - 	489	17.582275	0.763975	1.929624
 - 	490	14.593072	-0.441224	2.222473
 - 	491	11.521856	-1.627790	2.612493
 - 	492	8.424507	-2.756741	3.037538
 - 	493	5.368973	-3.805289	3.420056
 - 	494	2.439230	-4.762047	3.658533
 - 	495	-0.271721	-5.617291	3.650624
 - 	496	-2.671095	-6.355295	3.325430
 - 	497	-4.673269	-6.953794	2.665876
 - 	498	-6.206087	-7.389926	1.716630
 - 	499	-7.220276	-7.648020	0.581464
 - 	500	-7.701778	-7.725011	-0.588152
 - 	501	-7.681664	-7.632437	-1.613280
 - 	502	-7.237942	-7.396067	-2.314504
 - 	503	-6.486692	-7.054207	-2.548738
 - 	504	-5.563425	-6.655907	-2.259412
 - 	505	-4.598654	-6.261792	-1.519438
 - 	506	-3.693857	-5.948470	-0.526289
 - 	507	-2.902332	-5.810018	0.464393
 - 	508	-2.214870	-5.945533	1.227678
 - 	509	-1.549324	-6.429255	1.629649
 - 	510	-0.750690	-7.274296	1.646393
 - 	511	0.383650	-8.409886	1.357482
 - 	512	2.045208	-9.688097	0.919213
 - 	513	4.339384	-10.920211	0.514347
 - 	514	7.236094	-11.924962	0.293219
 - 	515	10.579948	-12.566355	0.333601
 - 	516	14.152525	-12.771297	0.631496
 - 	517	17.743717	-12.531045	1.114717
 - 	518	21.192070	-11.891646	1.668224
 - 	519	24.385870	-10.934082	2.165996
 - 	520	27.245420	-9.747323	2.503836
 - 	521	29.710915	-8.404577	2.623515
 - 	522	31.743088	-6.952920	2.520093
 - 	523	33.328159	-5.417997	2.232004
 - 	524	34.479263	-3.817484	1.822300
 - 	525	35.234516	-2.175370	1.362244
 - 	526	35.653301	-0.531613	0.925445
 - 	527	35.809258	1.055746	0.594838
 - 	528	35.779713	2.517205	0.472080
 - 	529	35.635513	3.785545	0.668089
 - 	530	35.433918	4.811164	1.269093
 - 	531	35.213718	5.572097	2.300300
 - 	532	34.993137	6.075292	3.704862
 - 	533	34.771725	6.351265	5.332229
 - 	534	34.532814	6.446800	6.936843
 - 	535	34.243668	6.418799	8.215038
 - 	536	33.859997	6.329472	8.901999
 - 	537	33.344025	6.241575	8.898367
 - 	538	32.692055	6.212017	8.344337
 - 	539	31.951410	6.281839	7.569407
 - 	540	31.207043	6.461571	6.923343
 - 	541	30.536867	6.715572	6.582968
 - 	542	29.955439	6.956871	6.463071
 - 	543	29.377562	7.066082	6.300654
